account_id,month,active_users,total_logins,features_used,avg_session_minutes,last_login_date,licensed_seats,seat_utilisation_pct
ACC001,2026-03,26,182,12,30,2026-05-13,31,83.9
ACC001,2026-04,26,286,12,30,2026-05-10,31,83.9
ACC001,2026-05,28,308,13,32,2026-05-12,31,90.3
ACC002,2026-03,26,312,12,30,2026-05-03,41,63.4
ACC002,2026-04,23,276,11,27,2026-05-04,41,56.1
ACC002,2026-05,22,264,10,26,2026-04-30,41,53.7
ACC003,2026-03,77,770,12,30,2026-05-11,91,84.6
ACC003,2026-04,78,858,12,30,2026-05-13,91,85.7
ACC003,2026-05,81,567,12,31,2026-05-10,91,89.0
ACC004,2026-03,8,48,12,30,2026-05-11,10,80.0
ACC004,2026-04,8,72,12,31,2026-05-11,10,80.0
ACC004,2026-05,8,64,13,33,2026-05-09,10,80.0
ACC005,2026-03,50,550,12,30,2026-04-08,113,44.2
ACC005,2026-04,39,234,9,23,2026-04-05,113,34.5
ACC005,2026-05,33,264,8,20,2026-04-09,113,29.2
ACC006,2026-03,12,132,12,30,2026-04-08,27,44.4
ACC006,2026-04,9,99,9,23,2026-04-08,27,33.3
ACC006,2026-05,7,49,7,18,2026-04-09,27,25.9
ACC007,2026-03,8,72,12,30,2026-04-05,19,42.1
ACC007,2026-04,6,48,9,22,2026-04-07,19,31.6
ACC007,2026-05,4,36,6,16,2026-04-06,19,21.1
ACC008,2026-03,18,126,12,30,2026-04-09,40,45.0
ACC008,2026-04,14,140,9,23,2026-04-10,40,35.0
ACC008,2026-05,10,100,7,17,2026-04-05,40,25.0
ACC009,2026-03,22,220,12,30,2026-05-13,26,84.6
ACC009,2026-04,22,220,12,30,2026-05-09,26,84.6
ACC009,2026-05,23,230,12,31,2026-05-12,26,88.5
ACC010,2026-03,13,130,12,30,2026-05-02,20,65.0
ACC010,2026-04,12,84,11,28,2026-04-30,20,60.0
ACC010,2026-05,10,60,10,25,2026-05-01,20,50.0
ACC011,2026-03,82,738,12,30,2026-05-12,97,84.5
ACC011,2026-04,85,765,12,31,2026-05-09,97,87.6
ACC011,2026-05,85,765,12,31,2026-05-08,97,87.6
ACC012,2026-03,35,315,12,30,2026-04-08,79,44.3
ACC012,2026-04,26,286,9,23,2026-04-09,79,32.9
ACC012,2026-05,20,120,7,17,2026-04-07,79,25.3
ACC013,2026-03,71,710,12,30,2026-05-13,84,84.5
ACC013,2026-04,75,450,12,31,2026-05-10,84,89.3
ACC013,2026-05,74,666,12,31,2026-05-12,84,88.1
ACC014,2026-03,33,363,12,30,2026-05-08,39,84.6
ACC014,2026-04,34,306,12,31,2026-05-11,39,87.2
ACC014,2026-05,36,324,13,33,2026-05-10,39,92.3
ACC015,2026-03,74,814,12,30,2026-05-08,88,84.1
ACC015,2026-04,78,546,12,31,2026-05-08,88,88.6
ACC015,2026-05,82,492,13,33,2026-05-12,88,93.2
ACC016,2026-03,8,56,12,30,2026-04-30,13,61.5
ACC016,2026-04,7,84,10,27,2026-05-05,13,53.8
ACC016,2026-05,6,48,9,24,2026-05-02,13,46.2
