ticket_id,account_id,subject,status,priority,created_date,resolved_date,days_open,category,satisfaction_score
TKT001,ACC001,Issue #1 - How-To problem,Resolved,High,2026-04-14,2026-04-15,0,How-To,7.0
TKT002,ACC001,Issue #2 - Technical problem,Resolved,High,2026-03-29,2026-03-31,0,Feature Request,7.0
TKT003,ACC002,Issue #3 - Technical problem,Resolved,Low,2026-03-02,2026-03-04,0,Performance,6.0
TKT004,ACC002,Issue #4 - Outage problem,Open,Low,2026-03-26,,50,Technical,
TKT005,ACC004,Issue #5 - Billing problem,Resolved,High,2026-05-04,2026-05-06,0,Billing,9.0
TKT006,ACC005,Issue #6 - How-To problem,Open,Medium,2026-03-25,,51,Technical,
TKT007,ACC005,Issue #7 - Technical problem,Open,High,2026-03-05,,71,Technical,
TKT008,ACC005,Issue #8 - Billing problem,Open,High,2026-03-10,,66,Churn Risk,
TKT009,ACC005,Issue #9 - Performance problem,Resolved,Medium,2026-03-15,2026-03-16,0,Billing,2.0
TKT010,ACC005,Issue #10 - Outage problem,Open,High,2026-04-05,,40,Product Gap,
TKT011,ACC005,Issue #11 - Billing problem,Resolved,High,2026-03-04,2026-03-09,0,Billing,5.0
TKT012,ACC005,Issue #12 - Product Gap problem,Open,Critical,2026-04-13,,32,Outage,
TKT013,ACC006,Issue #13 - Product Gap problem,Open,Low,2026-03-20,,56,Outage,
TKT014,ACC006,Issue #14 - Churn Risk problem,Open,Medium,2026-04-08,,37,Billing,
TKT015,ACC006,Issue #15 - Billing problem,Open,Low,2026-04-29,,16,Outage,
TKT016,ACC006,Issue #16 - Outage problem,Open,High,2026-04-24,,21,Billing,
TKT017,ACC006,Issue #17 - Product Gap problem,Open,High,2026-03-19,,57,Technical,
TKT018,ACC006,Issue #18 - How-To problem,Open,Medium,2026-04-04,,41,Performance,
TKT019,ACC006,Issue #19 - Outage problem,Resolved,Medium,2026-03-10,2026-03-11,0,Billing,3.0
TKT020,ACC007,Issue #20 - Technical problem,Open,Critical,2026-03-17,,59,Feature Request,
TKT021,ACC007,Issue #21 - Outage problem,Resolved,Critical,2026-05-07,2026-05-10,0,Technical,2.0
TKT022,ACC007,Issue #22 - Performance problem,Open,High,2026-04-22,,23,Technical,
TKT023,ACC007,Issue #23 - Product Gap problem,Open,Medium,2026-04-29,,16,Churn Risk,
TKT024,ACC007,Issue #24 - Billing problem,Resolved,High,2026-03-28,2026-03-31,0,Technical,2.0
TKT025,ACC008,Issue #25 - Product Gap problem,Open,Medium,2026-05-04,,11,Churn Risk,
TKT026,ACC008,Issue #26 - Billing problem,Open,Medium,2026-03-15,,61,Outage,
TKT027,ACC008,Issue #27 - Feature Request problem,Resolved,High,2026-03-16,2026-03-21,0,Technical,2.0
TKT028,ACC008,Issue #28 - How-To problem,Open,Low,2026-03-21,,55,Feature Request,
TKT029,ACC008,Issue #29 - Feature Request problem,Open,High,2026-04-13,,32,Outage,
TKT030,ACC010,Issue #30 - Product Gap problem,Open,Low,2026-03-08,,68,How-To,
TKT031,ACC010,Issue #31 - Outage problem,Open,Medium,2026-03-07,,69,Billing,
