opportunity_id,account_id,opportunity_name,stage,amount,close_date,renewal_date,probability,days_since_last_activity
OPP001,ACC001,Acme Corp Renewal 2026,Closed Won,33645,2026-07-11,2026-10-06,88,18
OPP002,ACC002,Globex Industries Renewal 2026,Negotiation,49804,2026-07-20,2026-10-03,47,25
OPP003,ACC003,Initech Solutions Renewal 2026,Closed Won,189420,2026-06-19,2026-10-04,94,12
OPP004,ACC004,Umbrella Ltd Renewal 2026,Closed Won,9432,2026-07-15,2027-01-16,88,19
OPP005,ACC005,Hooli Inc Renewal 2026,At Risk,41692,2026-07-24,2026-12-25,12,38
OPP006,ACC006,Massive Dynamic Renewal 2026,At Risk,25093,2026-07-26,2027-03-15,12,39
OPP007,ACC007,Soylent Corp Renewal 2026,At Risk,31620,2026-07-27,2027-04-05,7,32
OPP008,ACC008,Cyberdyne Systems Renewal 2026,At Risk,14460,2026-07-12,2026-08-04,14,39
OPP009,ACC009,Veridian Dynamics Renewal 2026,Closed Won,49063,2026-07-24,2026-09-29,89,19
OPP010,ACC010,Monarch Solutions Renewal 2026,Negotiation,28965,2026-08-07,2027-02-05,48,32
OPP011,ACC011,Apex Dynamics Renewal 2026,Closed Won,74993,2026-08-07,2026-06-30,86,12
OPP012,ACC012,Nexus Corp Renewal 2026,At Risk,108941,2026-07-08,2026-09-30,10,39
OPP013,ACC013,Pinnacle Tech Renewal 2026,Closed Won,180666,2026-07-28,2026-10-26,85,17
OPP014,ACC014,Quantum Leap Renewal 2026,Closed Won,25792,2026-07-01,2027-02-21,94,6
OPP015,ACC015,Horizon Systems Renewal 2026,Closed Won,158901,2026-08-11,2026-07-16,92,14
OPP016,ACC016,Zenith Analytics Renewal 2026,Negotiation,14949,2026-08-02,2026-08-11,54,31
OPP017,ACC017,Catalyst Group Renewal 2026,Negotiation,141185,2026-06-28,2026-10-26,48,28
OPP018,ACC018,Vertex Solutions Renewal 2026,At Risk,8649,2026-07-27,2027-02-28,15,34
OPP019,ACC019,Prism Technologies Renewal 2026,Closed Won,44903,2026-07-24,2027-04-16,95,6
OPP020,ACC020,Aurora Labs Renewal 2026,Closed Won,129269,2026-07-03,2026-07-13,85,16
OPP021,ACC021,Cobalt Systems Renewal 2026,Negotiation,53370,2026-07-30,2026-08-17,46,29
OPP022,ACC022,Delphi Corp Renewal 2026,Negotiation,168490,2026-07-04,2026-09-30,51,25
OPP023,ACC023,Eclipse Ventures Renewal 2026,Negotiation,30397,2026-06-26,2027-03-05,53,31
OPP024,ACC024,Fusion Works Renewal 2026,Closed Won,212151,2026-07-17,2026-10-09,89,10
OPP025,ACC025,Genesis Tech Renewal 2026,Negotiation,101578,2026-06-30,2026-06-30,49,30
OPP026,ACC026,Helios Group Renewal 2026,Negotiation,75627,2026-08-04,2026-08-20,52,22
OPP027,ACC027,Ironclad Solutions Renewal 2026,Negotiation,108137,2026-06-23,2026-08-01,55,32
OPP028,ACC028,Jade Systems Renewal 2026,Negotiation,58150,2026-08-07,2027-05-14,50,22
OPP029,ACC029,Kinetic Labs Renewal 2026,At Risk,5231,2026-08-03,2026-09-20,5,38
OPP030,ACC030,Luminary Corp Renewal 2026,Closed Won,133889,2026-07-18,2026-07-22,92,16
OPP031,ACC031,Matrix Solutions Renewal 2026,At Risk,38476,2026-07-27,2026-10-13,15,38
OPP032,ACC032,Nova Dynamics Renewal 2026,At Risk,14321,2026-07-21,2026-12-25,15,41
OPP033,ACC033,Orbit Technologies Renewal 2026,At Risk,8184,2026-06-20,2027-03-25,8,45
OPP034,ACC034,Paragon Systems Renewal 2026,At Risk,113047,2026-06-15,2026-07-15,13,40
OPP035,ACC035,Quartz Analytics Renewal 2026,Negotiation,40653,2026-08-11,2026-07-13,55,22
OPP036,ACC036,Radiant Corp Renewal 2026,Closed Won,118956,2026-07-24,2026-08-14,89,18
OPP037,ACC037,Sapphire Solutions Renewal 2026,Negotiation,32026,2026-06-21,2027-04-08,45,21
OPP038,ACC038,Titan Works Renewal 2026,Closed Won,27731,2026-07-03,2026-10-14,86,8
OPP039,ACC039,Unity Labs Renewal 2026,Closed Won,37395,2026-06-29,2026-06-18,91,19
OPP040,ACC040,Valor Systems Renewal 2026,Closed Won,13785,2026-07-07,2026-10-27,91,9
OPP041,ACC041,Warp Technologies Renewal 2026,Closed Won,11628,2026-08-09,2027-03-19,95,8
OPP042,ACC042,Xenon Corp Renewal 2026,At Risk,65559,2026-08-06,2026-08-06,14,43
OPP043,ACC043,Yield Dynamics Renewal 2026,Negotiation,7689,2026-08-13,2026-11-05,45,31
OPP044,ACC044,Zephyr Solutions Renewal 2026,Negotiation,103657,2026-06-27,2027-02-19,52,27
OPP045,ACC045,Blueshift Labs Renewal 2026,At Risk,13871,2026-08-07,2026-12-01,6,41
OPP046,ACC046,Crestview Systems Renewal 2026,Negotiation,16282,2026-07-18,2026-06-18,50,21
OPP047,ACC047,Deltaforce Corp Renewal 2026,At Risk,26445,2026-07-09,2026-08-28,8,33
OPP048,ACC048,Ember Analytics Renewal 2026,At Risk,14540,2026-08-13,2026-09-29,6,36
OPP049,ACC049,Frontier Tech Renewal 2026,At Risk,9279,2026-07-25,2026-09-01,14,30
OPP050,ACC050,Granite Solutions Renewal 2026,Closed Won,14532,2026-06-17,2026-10-19,88,9
